bar, pos
01, 144.965
02, 145.472
03, 144.609
04, 145.116
05, 144.254
06, 144.761
07, 143.898
08, 144.406
09, 143.543
10, 144.050
11, 143.188
12, 143.695
13, 142.832
14, 143.339
15, 142.477
16, 142.984
17, 142.122
18, 142.629
19, 141.766
20, 142.273
21, 141.411
22, 141.918
23, 141.055
24, 141.563
25, 140.700
26, 141.207
27, 140.345
28, 140.852
29, 139.989
30, 140.497
31, 139.634
32, 140.141
33, 139.279
34, 139.786
35, 138.923
36, 139.430
37, 138.568
38, 139.075
39, 138.213
40, 138.720
41, 137.857
42, 138.364
43, 137.502
44, 138.009
45, 137.146
46, 137.654
47, 136.791
48, 137.298
49, 136.436
50, 136.943
51, 136.080
52, 136.587
53, 135.725
54, 136.232
55, 135.370
56, 135.877
57, 135.014
58, 135.521
59, 134.659
60, 135.166
61, 134.303
62, 134.811
63, 133.948
64, 134.455
65, 133.593
66, 134.100
67, 133.237
68, 133.745
69, 132.882
70, 133.389
71, 132.527
72, 133.034
73, 132.171
74, 132.678
75, 131.816
76, 132.323
77, 131.461
78, 131.968
79, 131.105
80, 131.612
81, 130.750
82, 131.257
83, 130.394
84, 130.902
85, 130.039
86, 130.546
87, 129.684
88, 130.191
89, 129.328
90, 129.835
91, 128.973
92, 129.480
