bar, pos
01,   4.000
02, 270.400
03,   4.000
04, 270.400
05,   4.000
06, 270.400
07,   4.000
08, 270.400
09,   4.000
10, 270.400
11,   4.000
12, 270.400
13,   4.000
14, 270.400
15,   4.000
16, 270.400
17,   4.000
18, 270.400
19,   4.000
20, 270.400
21,   4.000
22, 270.400
23,   1.850
24, 270.400
25,   4.000
26, 270.400
27,   4.000
28, 270.400
29,   4.000
30, 270.400
31,   4.000
32, 270.400
33,   4.000
34, 270.400
35,   4.000
36, 270.400
37,   4.000
38, 270.400
39,   4.000
40, 270.400
41,   4.000
42, 270.400
43,   4.000
44, 270.400
45,   4.000
46, 270.400
47,   4.000
48, 270.400
49,   4.000
50, 270.400
51,   4.000
52, 270.400
53,   4.000
54, 270.400
55,   4.000
56, 270.400
57,   4.000
58, 270.400
59,   4.000
60, 270.400
61,   4.000
62, 270.400
63,   4.000
64, 270.400
65,   4.000
66, 270.400
67,   4.000
68, 270.400
69,   4.000
70, 270.400
71,   4.000
72, 270.400
73,   4.000
74, 270.400
75,   4.000
76, 270.400
77,   4.000
78, 270.400
79,   4.000
80, 270.400
81,   4.000
82, 270.400
83,   4.000
84, 270.400
85,   4.000
86, 270.400
87,   4.000
88, 270.400
89,   4.000
90, 270.400
91,   4.000
92, 270.400
